id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
420000,2020-04-03 10:14:05,湖北,67802,0,63612,3203,0,0,0,,141,4,,,0
440000,2020-04-03 09:18:55,广东,1514,0,1368,8,0,0,7,,3,0,,,0
410000,2020-04-03 08:36:23,河南,1276,0,1251,22,0,0,0,,0,0,,,0
330000,2020-04-03 09:25:12,浙江,1260,0,1228,1,0,0,2,,0,0,,,0
430000,2020-04-03 08:52:05,湖南,1019,0,1014,4,0,0,0,,0,0,,,0
340000,2020-04-03 08:47:02,安徽,990,0,984,6,0,0,0,,0,0,,,0
360000,2020-04-03 09:06:34,江西,937,0,935,1,0,0,0,,0,0,,,0
810000,2020-04-03 19:05:59,香港,845,0,173,4,0,0,80,0.0,26,0,0.0,,0
370000,2020-04-03 08:12:58,山东,778,0,754,7,0,0,3,,1,0,,,0
320000,2020-04-03 11:48:44,江苏,651,0,632,0,0,0,4,,1,0,,,0
110000,2020-04-03 08:44:55,北京,583,0,434,8,0,0,1,,10,0,,,0
500000,2020-04-03 08:04:29,重庆,579,0,570,6,0,0,0,,0,0,,,0
510000,2020-04-03 08:51:24,四川,555,0,537,3,0,0,1,,0,0,,,0
310000,2020-04-03 14:11:32,上海,526,0,348,6,0,0,4,,5,0,,,0
230000,2020-04-03 08:00:27,黑龙江,489,0,469,13,0,0,1,,0,0,,,0
350000,2020-04-03 17:00:27,福建,349,0,301,1,0,0,4,,2,0,,,0
700000,2020-04-03 14:25:44,台湾,348,0,50,5,0,0,19,0.0,5,0,0.0,,0
130000,2020-04-03 08:43:34,河北,326,0,310,6,0,0,1,,0,0,,,0
610000,2020-04-03 11:34:25,陕西,255,0,244,3,0,0,0,,2,0,,,0
450000,2020-04-03 08:22:40,广西,254,0,252,2,0,0,0,,0,0,,,0
530000,2020-04-03 03:23:25,云南,184,0,172,2,0,0,1,,0,0,,,0
120000,2020-04-03 09:52:32,天津,180,0,140,3,0,0,4,,5,0,,,0
460000,2020-04-03 09:24:13,海南,168,0,162,6,0,0,0,,0,0,,,0
520000,2020-04-03 08:36:47,贵州,147,0,144,2,0,0,0,,0,0,,,0
210000,2020-04-03 14:34:12,辽宁,141,0,125,2,0,0,1,,1,0,,,0
620000,2020-04-03 22:02:24,甘肃,138,0,131,2,0,0,0,,4,0,,,0
140000,2020-04-03 03:23:58,山西,137,0,133,0,0,0,0,,0,0,,,0
150000,2020-04-03 08:40:17,内蒙古,117,0,74,1,0,0,0,,0,0,,,0
220000,2020-04-03 07:53:25,吉林,98,0,92,1,0,0,0,,0,0,,,0
650000,2020-04-03 08:46:04,新疆,76,0,73,3,0,0,0,,0,0,,,0
640000,2020-04-03 08:46:28,宁夏,75,0,75,0,0,0,0,,0,0,,,0
820000,2020-04-03 18:43:47,澳门,42,0,10,0,0,0,1,0.0,0,0,0.0,,0
630000,2020-04-03 08:55:54,青海,18,0,18,0,0,0,0,,0,0,,,0
540000,2020-04-03 10:18:39,西藏,1,0,1,0,0,0,0,,0,0,,,0
