id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-04-03 07:02:37,突尼斯,455,0,3,14,0,,32.0,0.0,0.0,2.0,0.0,,
9507896,2020-04-03 21:29:41,塞尔维亚,1476,0,0,89,0,,305.0,0.0,0.0,58.0,0.0,,
0,2020-04-03 22:02:41,中国,82858,135,76816,3331,379,873.0,134.0,12.0,206.0,4.0,0.0,,32.0
1,2020-04-03 11:25:22,日本,3834,0,1133,88,0,,351.0,,9.0,4.0,,,
2,2020-04-03 12:48:49,泰国,1978,0,581,19,0,,103.0,0.0,76.0,4.0,0.0,,
3,2020-04-03 17:17:44,新加坡,1114,0,266,5,0,,65.0,0.0,0.0,2.0,0.0,,
4,2020-04-03 09:40:08,韩国,10062,0,6021,174,0,,86.0,,193.0,5.0,,,
5,2020-04-03 22:21:27,澳大利亚,5330,0,649,28,0,,354.0,0.0,227.0,5.0,0.0,,
6,2020-04-03 13:29:50,德国,84788,0,22440,1107,0,,3040.0,,0.0,0.0,,,
7,2020-04-03 23:10:42,美国,245658,0,9311,6069,0,0.0,28395.0,0.0,601.0,918.0,0.0,,0.0
8,2020-04-03 17:28:41,马来西亚,3333,0,827,53,0,,217.0,0.0,60.0,3.0,0.0,,
9,2020-04-03 21:09:24,越南,237,0,85,0,0,,10.0,0.0,10.0,0.0,0.0,,
89566,2020-03-27 11:18:38,圣巴泰勒米,3,0,0,0,0,,,0.0,,,0.0,,
821,2020-04-03 21:36:35,肯尼亚,122,0,4,3,0,,12.0,0.0,0.0,0.0,0.0,,
826,2020-04-03 18:00:29,伊朗,53183,0,17935,3294,0,,2715.0,,1224.0,134.0,,,
827,2020-04-03 16:17:43,以色列,7030,0,338,37,0,,173.0,0.0,0.0,1.0,0.0,,
829,2020-04-03 18:19:37,黎巴嫩,508,0,46,17,0,,14.0,0.0,3.0,1.0,0.0,,
833,2020-04-03 07:03:51,克罗地亚,1011,0,88,7,0,,48.0,0.0,21.0,1.0,0.0,,
834,2020-04-03 22:13:08,奥地利,11383,0,2022,168,0,,416.0,0.0,273.0,10.0,0.0,,
835,2020-04-03 22:10:24,瑞士,19303,0,4846,484,0,,1036.0,0.0,833.0,52.0,0.0,,
839,2020-04-03 01:50:05,希腊,1584,0,42,53,0,,169.0,0.0,0.0,3.0,0.0,,
95800,2020-04-03 01:54:06,毛里求斯,169,0,0,7,0,,8.0,0.0,0.0,1.0,0.0,,
845,2020-04-03 01:59:12,爱沙尼亚,858,0,34,11,0,,79.0,0.0,0.0,6.0,0.0,,
846,2020-04-01 10:55:30,北马其顿,329,0,12,7,0,,,0.0,,,0.0,,
850,2020-04-03 21:09:03,白俄罗斯,351,0,47,4,0,,97.0,0.0,0.0,0.0,0.0,,
851,2020-04-03 01:57:41,立陶宛,649,0,7,9,0,,68.0,0.0,0.0,1.0,0.0,,
852,2020-04-03 17:18:08,阿塞拜疆,443,0,32,5,0,,43.0,0.0,6.0,0.0,0.0,,
875097,2020-03-31 00:00:31,美属维尔京群岛,19,0,0,0,0,,,0.0,,,0.0,,
95826,2020-04-01 12:20:12,蒙古,14,0,0,0,0,,,0.0,,,0.0,,
872,2020-04-03 15:27:03,乌克兰,942,0,19,23,0,,45.0,0.0,0.0,1.0,0.0,,
874,2020-04-03 22:32:53,波兰,3149,0,56,59,0,,595.0,0.0,43.0,16.0,0.0,,
878,2020-03-06 00:00:31,波斯尼亚,1,0,0,0,0,,,0.0,,,0.0,,
879,2020-04-01 00:00:31,波黑,411,0,17,10,0,,,0.0,,,0.0,,
80902,2020-03-31 00:00:31,蒙特塞拉特,5,0,0,0,0,,,0.0,,,0.0,,
880,2020-04-03 03:20:29,南非,1462,0,45,5,0,,82.0,0.0,14.0,0.0,0.0,,
95198,2020-04-03 02:23:59,布隆迪,3,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,,
893,2020-04-01 11:33:08,马耳他,169,0,2,0,0,,,0.0,,,0.0,,
896,2020-04-03 02:01:26,摩尔多瓦,505,0,22,6,0,,82.0,0.0,0.0,1.0,0.0,,
897,2020-04-03 17:57:09,保加利亚,477,0,17,12,0,,20.0,0.0,0.0,4.0,0.0,,
898,2020-04-03 21:28:27,孟加拉国,61,0,26,6,0,,5.0,0.0,1.0,0.0,0.0,,
899,2020-04-03 07:34:33,阿尔巴尼亚,277,0,52,16,0,,18.0,0.0,0.0,1.0,0.0,,
950000,2020-04-03 03:21:20,巴勒斯坦,160,0,18,1,0,,26.0,0.0,0.0,0.0,0.0,,
953333,2020-04-02 03:31:39,阿富汗,239,0,2,4,0,,,0.0,,,0.0,,
95888822,2020-04-03 21:26:37,沙特阿拉伯,2039,0,351,25,0,,154.0,0.0,23.0,4.0,0.0,,
9511123,2020-04-03 10:04:49,新西兰,772,0,103,1,0,,49.0,0.0,29.0,0.0,0.0,,
83356,2020-03-27 11:30:54,泽西岛,18,0,0,0,0,,,0.0,,,0.0,,
954467,2020-04-03 07:25:44,叙利亚,16,0,0,2,0,,6.0,0.0,0.0,1.0,0.0,,
